paths,F1-score,recall,precision
/scratch/parceirosbr/manntisict/radar/TEST_MODELS/oil_spill_segm/data_/test/images/2018_12_19_d.tif,"[0.9859686268412335, 0.608267629340893, 0.7971181280910633, 0.9773648299941673]","[0.9740622182305082, 0.9233782170894481, 0.9487202176599782, 0.9729076678001409]","[0.9981697123942755, 0.45350517251343697, 0.7258374424538563, 0.9857625885530648]"
/scratch/parceirosbr/manntisict/radar/TEST_MODELS/oil_spill_segm/data_/test/images/20200224_b.tif,"[0.997176224316921, 0.6742208142179223, 0.8356985192674217, 0.9938993976999521]","[0.9987408131512332, 0.5710182360668878, 0.7848795246090605, 0.9944009795970007]","[0.9956165298642958, 0.8229574481740581, 0.909286989019177, 0.9938646661182434]"
/scratch/parceirosbr/manntisict/radar/TEST_MODELS/oil_spill_segm/data_/test/images/2018_12_19_f_.tif,"[0.9390134986425455, 0.520037208944466, 0.7295253537935058, 0.9089197398398583]","[0.8976227694115274, 0.816252627059086, 0.8569376982353067, 0.8917782061321607]","[0.984405929248612, 0.3815675783326564, 0.6829867537906342, 0.9411059326245843]"
/scratch/parceirosbr/manntisict/radar/TEST_MODELS/oil_spill_segm/data_/test/images/20191015.tif,"[0.9489822774423988, 0.4786559227430138, 0.7138191000927063, 0.9245582774059103]","[0.9117409364106039, 0.8215923509153525, 0.8666666436629782, 0.90705952948236]","[0.9893955295629477, 0.33769886318659775, 0.6635471963747728, 0.9555529875826478]"
/scratch/parceirosbr/manntisict/radar/TEST_MODELS/oil_spill_segm/data_/test/images/20200319b.tif,"[0.9978788012433008, 0.8109647163912461, 0.9044217588172734, 0.9960848105055958]","[0.9963687687591513, 0.9375968191676134, 0.9669827939633824, 0.9958046789352756]","[0.999393417691022, 0.7144684032423074, 0.8569309104666647, 0.996658723634841]"
/scratch/parceirosbr/manntisict/radar/TEST_MODELS/oil_spill_segm/data_/test/images/2018_09_26.tif,"[0.9836919579612426, 0.5836788887754061, 0.7836854233683244, 0.9706014286946741]","[0.9786376597468887, 0.6723215020999753, 0.825479580923432, 0.9686133857033903]","[0.9887987343329873, 0.5156877430765483, 0.7522432387047677, 0.9733160570045114]"
/scratch/parceirosbr/manntisict/radar/TEST_MODELS/oil_spill_segm/data_/test/images/2018_12_19_e.tif,"[0.9963669275193394, 0.5503266157053509, 0.7733467716123452, 0.9943099676882644]","[0.9929605772631033, 0.9564251207729468, 0.9746928490180251, 0.9927920903249953]","[0.9997967291878407, 0.38630243902439027, 0.6930495841061155, 0.9969675384666526]"
