,f1-score,precision,recall,support
0,0.9760156632403328,0.9568138195777351,0.996003996003996,1001.0
1,0.9749139203148057,0.9593417231364957,0.991,1000.0
2,0.9503397804495557,0.9978046103183315,0.907185628742515,1002.0
3,0.8662587412587412,0.7972646822204345,0.9483253588516747,1045.0
4,0.8269951794322441,0.9157769869513642,0.75390625,1024.0
accuracy,0.918769716088328,0.918769716088328,0.918769716088328,0.918769716088328
macro avg,0.9189046569391358,0.9254003644408721,0.9192842467196372,5072.0
weighted avg,0.9180263224729568,0.924252721536145,0.918769716088328,5072.0
